rank0,bpm1,nrgy2,dnce3,dB4,live5,val6,dur7,acous8,spch9
14,146,83,73,3,7,94,179,27,5
15,174,64,73,4,14,55,205,9,13
16,92,73,73,3,10,88,217,22,4
17,182,67,65,6,8,34,250,47,31
18,117,55,76,6,8,75,191,4,3
19,92,79,81,4,9,58,309,14,7
20,93,79,64,4,36,94,222,3,25
21,98,69,88,4,5,75,162,39,12
22,96,71,78,5,9,68,176,22,28
23,100,71,87,5,9,59,146,3,13
24,126,66,64,6,34,86,213,10,36
25,90,54,73,5,14,64,227,26,5
26,166,72,80,4,18,76,305,14,8
27,88,67,88,3,7,68,227,11,11
28,105,56,82,6,5,77,204,16,17
29,92,78,80,4,44,80,266,36,4
30,93,52,67,4,37,81,169,45,4
31,176,51,64,4,13,77,175,61,5
32,104,79,62,6,9,75,312,18,5
33,124,70,80,6,3,78,162,10,4
34,130,59,78,5,19,96,215,53,4
35,106,68,73,5,6,83,264,25,4
36,118,66,76,6,6,97,187,67,5
37,107,73,76,6,13,85,173,63,6
38,103,77,76,7,11,96,243,18,4
39,93,63,85,4,13,90,190,51,3
40,107,76,79,4,5,86,287,41,12
41,131,92,51,5,15,97,275,16,26
42,106,57,68,6,8,95,227,82,3
43,102,62,75,7,6,97,214,60,6
44,107,69,79,7,14,62,220,11,4
45,127,63,86,5,8,95,157,46,10
46,142,56,62,7,18,93,198,52,3
47,100,83,60,6,8,98,150,85,13
48,95,72,85,5,16,96,244,7,6
49,204,74,55,7,8,94,212,34,10
50,112,79,79,4,4,70,211,64,4
1,98,59,82,6,15,51,209,69,9
2,117,60,62,6,46,46,164,5,15
3,91,32,76,7,8,57,189,84,5
4,150,63,34,7,7,35,241,16,4
5,105,72,72,7,24,67,222,3,7
6,124,79,79,5,10,68,183,1,8
7,171,80,51,4,9,35,202,0,6
8,118,75,88,4,11,88,158,18,9
9,127,46,62,6,14,50,184,56,3
10,134,24,45,14,18,70,117,91,4
11,117,55,76,6,8,75,191,4,3
12,108,48,74,12,36,95,263,19,3
13,126,89,80,4,29,46,170,4,7
14,122,72,77,5,35,90,177,2,5
15,130,65,83,6,14,41,156,5,31
16,151,43,61,9,9,74,122,86,4
17,125,70,71,5,10,48,180,33,10
18,200,57,65,8,16,36,197,64,14
19,105,59,83,5,20,54,178,7,15
20,125,78,93,3,17,93,189,21,6
21,92,69,84,7,13,68,175,40,21
22,130,64,90,7,8,70,173,17,29
23,97,46,89,8,6,50,144,64,24
24,152,60,61,8,9,25,210,61,36
25,122,76,50,7,33,49,182,0,5
26,113,76,80,4,11,46,193,69,4
27,168,70,66,7,7,65,211,29,14
28,134,66,77,7,22,42,168,44,6
29,82,66,74,6,9,47,158,76,6
30,150,67,64,7,11,79,192,43,9
31,132,42,64,10,14,20,244,33,17
32,145,88,76,6,12,39,203,40,19
33,148,30,66,20,21,49,185,30,8
34,117,61,94,6,10,63,170,27,7
35,98,80,53,4,37,41,191,33,34
36,132,75,78,6,12,68,195,12,4
37,136,69,80,5,18,80,223,62,6
38,105,73,75,6,7,49,162,56,19
39,142,40,63,9,10,25,224,88,3
40,105,74,79,5,34,47,197,33,6
41,75,74,70,7,16,93,215,55,5
